ID,Type,Title,ContainerTitle,JournalAbbrev,Volume,Issue,Pages,Year,DOI,URL,Abstract,Authors,Source,Language
http://zotero.org/users/14600920/items/62NKZKF9,article-journal,An overview of the uses of per- and polyfluoroalkyl substances (PFAS),Environmental Science: Processes & Impacts,,22,12,2345-2373,2020,10.1039/D0EM00291G,https://pubs.rsc.org/en/content/articlelanding/2020/em/d0em00291g,,"Glüge, Juliane; Scheringer, Martin; T. Cousins, Ian; C. DeWitt, Jamie; Goldenman, Gretta; Herzke, Dorte; Lohmann, Rainer; A. Ng, Carla; Trier, Xenia; Wang, Zhanyun",pubs.rsc.org,en
http://zotero.org/users/14600920/items/7PVRLVE8,webpage,Outside the Safe Operating Space of the Planetary Boundary for Novel Entities | Environmental Science & Technology,,,,,,,,https://pubs.acs.org/doi/full/10.1021/acs.est.1c04158,,,,
http://zotero.org/users/14600920/items/CUYP3IV2,article-journal,Outside the Safe Operating Space of the Planetary Boundary for Novel Entities,Environmental Science & Technology,Environ. Sci. Technol.,56,3,1510-1521,2022,10.1021/acs.est.1c04158,https://doi.org/10.1021/acs.est.1c04158,"We submit that the safe operating space of the planetary boundary of novel entities is exceeded since annual production and releases are increasing at a pace that outstrips the global capacity for assessment and monitoring. The novel entities boundary in the planetary boundaries framework refers to entities that are novel in a geological sense and that could have large-scale impacts that threaten the integrity of Earth system processes. We review the scientific literature relevant to quantifying the boundary for novel entities and highlight plastic pollution as a particular aspect of high concern. An impact pathway from production of novel entities to impacts on Earth system processes is presented. We define and apply three criteria for assessment of the suitability of control variables for the boundary: feasibility, relevance, and comprehensiveness. We propose several complementary control variables to capture the complexity of this boundary, while acknowledging major data limitations. We conclude that humanity is currently operating outside the planetary boundary based on the weight-of-evidence for several of these control variables. The increasing rate of production and releases of larger volumes and higher numbers of novel entities with diverse risk potentials exceed societies’ ability to conduct safety related assessments and monitoring. We recommend taking urgent action to reduce the harm associated with exceeding the boundary by reducing the production and releases of novel entities, noting that even so, the persistence of many novel entities and/or their associated effects will continue to pose a threat.","Persson, Linn; Carney Almroth, Bethanie M.; Collins, Christopher D.; Cornell, Sarah; Wit, Cynthia A.; Diamond, Miriam L.; Fantke, Peter; Hassellöv, Martin; MacLeod, Matthew; Ryberg, Morten W.; Søgaard Jørgensen, Peter; Villarrubia-Gómez, Patricia; Wang, Zhanyun; Hauschild, Michael Zwicky",ACS Publications,
http://zotero.org/users/14600920/items/ZHPQDMGX,article-journal,Recent progress in adsorptive removal of per- and poly-fluoroalkyl substances (PFAS) from water/wastewater,Critical Reviews in Environmental Science and Technology,,52,1,90-129,2022,10.1080/10643389.2020.1816125,https://doi.org/10.1080/10643389.2020.1816125,"Due to chemical and physiological inertness and wide usage in nearly every aspect of our daily life, per- and poly-fluoroalkyl substances (PFAS) are now ubiquitous in the environment, including drinking water sources. As most biological and chemical destruction methods have so far shown limited efficiencies, adsorption, a simple and cost-effective treatment, is widely adopted for the removal of PFAS from water/wastewater. This paper aims to review the recent progress in PFAS adsorption using various adsorbents. The performance of different types of adsorbents, including the traditional carbonaceous materials and resins as well as the newly-synthesized minerals, biomaterials, and polymers, in PFAS removal was summarized. Furthermore, the adsorption characteristics and mechanisms were critically reviewed. Real-life adsorption applications (large-scale setups, adsorption-involved treatment trains and point-of-use/point-of-entry systems) were also examined. Learned lessons, current challenges and recommendations on future research were provided regarding results of tests in real environmental matrices, pilot and/or field scale studies of promising newly-developed adsorbents, and the improvement of the removal of alternative PFAS (mostly short-chained ones).","Vu, Chi Thanh; Wu, Tingting",Taylor and Francis+NEJM,
http://zotero.org/users/14600920/items/7JUMS43W,article-journal,Poly‐and perfluoroalkyl substances in water and wastewater: A comprehensive review from sources to remediation,Journal of Water Process Engineering,Journal of Water Process Engineering,36,,101393,2020,10.1016/j.jwpe.2020.101393,https://www.sciencedirect.com/science/article/pii/S2214714420302713,"Per- and polyfluoroalkyl substances (PFAS) are pollutants have attracted major concern due to their high persistence and bioaccumulation. They are causing increasingly serious epidemiological problems in many communities globally due to consuming PFAS-contaminated water sources. Necessarily, the behavior of PFAS in water and wastewater needs to be understood better. This study attempts to comprehensively review, analyze and discuss PFAS based on the following key aspects: (i) sources, (ii) occurrence in water and wastewater, (iii) transformation, fate and migration, and (iv) remediation technologies. Studies indicated that modern water and wastewater treatment plants cannot deal completely with PFAS and in some cases, the removal efficiency is minus -3500-fold. The main reasons are the high hydrophobicity of PFAS and presence of PFAS precursors. Precursors can account for 33–63% of total PFAS concentration in water and wastewater. Detection and identification of precursors are challenging due to the requirement of advanced analytical instrument and standard chemicals. Several technologies have been developed for PFAS remediation involving two main mechanisms: separation-concentration and destruction. The most widespread in-use technology is adsorption because it is reasonably affordable. Anion exchange resin and synthesized materials are the most effective sorbents having a sorption capacity of 100–2000 mg PFAS/g sorbent, effective within a few hours. The destruction technology such as plasma can also be a promising one for degrading PFAS to below health-based standard in 1 min. However, plasma is costly and not yet ready for full scale application.","Phong Vo, Hoang Nhat; Ngo, Huu Hao; Guo, Wenshan; Hong Nguyen, Thi Minh; Li, Jianxin; Liang, Heng; Deng, Lijuan; Chen, Zhuo; Hang Nguyen, Thi An",ScienceDirect,
http://zotero.org/users/14600920/items/EY5HEL7D,article-journal,<i>Per</i>- and polyfluoroalkyl substances in water and wastewater: A critical review of their global occurrence and distribution,Science of The Total Environment,Science of The Total Environment,809,,151003,2022,10.1016/j.scitotenv.2021.151003,https://www.sciencedirect.com/science/article/pii/S0048969721060812,"Per- and polyfluoroalkyl substances (PFAS) are a family of fluorinated organic compounds of anthropogenic origin. Due to their unique chemical properties, widespread production, environmental distribution, long-term persistence, bioaccumulative potential, and associated risks for human health, PFAS have been classified as persistent organic pollutants of significant concern. Scientific evidence from the last several decades suggests that their widespread occurrence in the environment correlates with adverse effects on human health and ecology. The presence of PFAS in the aquatic environment demonstrates a close link between the anthroposphere and the hydrological cycle, and concentrations of PFAS in surface and groundwater range in value along the ng L−1–μg L−1 scale. Here, we critically reviewed the research published in the last decade on the global occurrence and distribution of PFAS in the aquatic environment. Ours is the first paper to critically evaluate the occurrence of PFAS at the continental scale and the evolving global regulatory responses to manage and mitigate the adverse human health risks posed by PFAS. The review reports that PFAS are widespread despite being phased out—they have been detected in different continents irrespective of the level of industrial development. Their occurrence far from the potential sources suggests that long-range atmospheric transport is an important pathway of PFAS distribution. Recently, several studies have investigated the health impacts of PFAS exposure—they have been detected in biota, drinking water, food, air, and human serum. In response to the emerging information about PFAS toxicity, several countries have provided administrative guidelines for PFAS in water, including Canada, the United Kingdom, Sweden, Norway, Germany, and Australia. In the US, additional regulatory measures are under consideration. Further, many PFAS have now been listed as persistent organic pollutants. This comprehensive review provides crucial baseline information on the global occurrence, distribution, and regulatory framework of PFAS.","Kurwadkar, Sudarshan; Dane, Jason; Kanel, Sushil R.; Nadagouda, Mallikarjuna N.; Cawdrey, Ryan W.; Ambade, Balram; Struckhoff, Garrett C.; Wilkin, Richard",ScienceDirect,
http://zotero.org/users/14600920/items/66S5C6EX,article-journal,"A review of the occurrence, transformation, and removal of poly- and perfluoroalkyl substances (PFAS) in wastewater treatment plants",Water Research,Water Research,199,,117187,2021,10.1016/j.watres.2021.117187,https://www.sciencedirect.com/science/article/pii/S0043135421003857,"Poly- and perfluoroalkyl substances (PFAS) comprise more than 4,000 anthropogenically manufactured compounds with widescale consumer and industrial applications. This critical review compiles the latest information on the worldwide distribution of PFAS and evaluates their fate in wastewater treatment plants (WWTPs). A large proportion (>30%) of monitoring studies in WWTPs were conducted in China, followed by Europe (30%) and North America (16%), whereas information is generally lacking for other parts of the world, including most of the developing countries. Short and long-chain perfluoroalkyl acids (PFAAs) were widely detected in both the influents (up to 1,000 ng/L) and effluents (15 to >1,500 ng/L) of WWTPs. To date, limited data is available regarding levels of PFAS precursors and ultra-short chain PFAS in WWTPs. Most WWTPs exhibited low removal efficiencies for PFAS, and many studies reported an increase in the levels of PFAAs after wastewater treatment. The analysis of the fate of various classes of PFAS at different wastewater treatment stages (aerobic and/aerobic biodegradation, photodegradation, and chemical degradation) revealed biodegradation as the primary mechanism responsible for the transformation of PFAS precursors to PFAAs in WWTPs. Remediation studies at full scale and laboratory scale suggest advanced processes such as adsorption using ion exchange resins, electrochemical degradation, and nanofiltration are more effective in removing PFAS (~95–100%) than conventional processes. However, the applicability of such treatments for real-world WWTPs faces significant challenges due to the scaling-up requirements, mass-transfer limitations, and management of treatment by-products and wastes. Combining more than one technique for effective removal of PFAS, while addressing limitations of the individual treatments, could be beneficial. Considering environmental concentrations of PFAS, cost-effectiveness, and ease of operation, nanofiltration followed by adsorption using wood-derived biochar and/or activated carbons could be a viable option if introduced to conventional treatment systems. However, the large-scale applicability of the same needs to be further verified.","Lenka, Swadhina Priyadarshini; Kah, Melanie; Padhye, Lokesh P.",ScienceDirect,
http://zotero.org/users/14600920/items/ULT53N6J,article-journal,Occurrence and removal of poly/perfluoroalkyl substances (PFAS) in municipal and industrial wastewater treatment plants,Water Science and Technology,Water Science and Technology,84,12,3442-3468,2021,10.2166/wst.2021.484,https://doi.org/10.2166/wst.2021.484,"The presence of poly- and perfluoroalkyl substances (PFAS) has caused serious problems for drinking water supplies especially at intake locations close to PFAS manufacturing facilities, wastewater treatment plants (WWTPs), and sites where PFAS-containing firefighting foam was regularly used. Although monitoring is increasing, knowledge on PFAS occurrences particularly in municipal and industrial effluents is still relatively low. Even though the production of C8-based PFAS has been phased out, they are still being detected at many WWTPs. Emerging PFAS such as GenX and F-53B are also beginning to be reported in aquatic environments. This paper presents a broad review and discussion on the occurrence of PFAS in municipal and industrial wastewater which appear to be their main sources. Carbon adsorption and ion exchange are currently used treatment technologies for PFAS removal. However, these methods have been reported to be ineffective for the removal of short-chain PFAS. Several pioneering treatment technologies, such as electrooxidation, ultrasound, and plasma have been reported for PFAS degradation. Nevertheless, in-depth research should be performed for the applicability of emerging technologies for real-world applications. This paper examines different technologies and helps to understand the research needs to improve the development of treatment processes for PFAS in wastewater streams.","Barisci, Sibel; Suri, Rominder",Silverchair,
http://zotero.org/users/14600920/items/IK9PEINA,article-journal,A review of socio-technical energy transition (STET) models,Technological Forecasting and Social Change,Technological Forecasting and Social Change,100,,290-305,2015,10.1016/j.techfore.2015.07.017,https://www.sciencedirect.com/science/article/pii/S0040162515002267,"Many existing technical feasibility and modelling studies in the energy field are criticised for their limited treatment of societal actors and socio-political dynamics, poor representation of the co-evolving nature of society and technology, and hence an inability to analyse socio-technical change. At the same time, prominent conceptual frameworks of socio-technical transitions that address these elements are often found to be difficult to operationalize in quantitative energy analyses that meet policy development requirements. However a new energy modelling paradigm has started to emerge for integrating both quantitative modelling and conceptual socio-technical transitions. This paper provides a taxonomy for this new model category: ‘socio-technical energy transition’ (STET) models. A review of existing STET models and their applications to the energy supply, buildings and transport sectors is provided. Following this review, the paper reflects on the extent to which these existing quantitative models captured the variety of factors covered in socio-technical transitions theory, highlights the challenges associated with their theoretical and behavioural validation, and proposes future development priorities for STET models.","Li, Francis G. N.; Trutnevyte, Evelina; Strachan, Neil",ScienceDirect,
http://zotero.org/users/14600920/items/F6QCHQ2F,post-weblog,Farmers File Suit Over PFAS Contamination,National Agricultural Law Center,,,,,2024,,https://nationalaglawcenter.org/farmers-file-suit-over-pfas-contamination/,"In February 2024, a group of Texas farmers filed a lawsuit against Synagro Technologies, Inc. (“Synagro”) for manufacturing and distributing a...",,,en-US
http://zotero.org/users/14600920/items/BAAFQQ3M,article-journal,Thermogravimetric Studies for the Incineration of an Anion Exchange Resin Laden with Short- or Long-Chain PFAS Compounds Containing Carboxylic or Sulfonic Acid Functionalities in the Presence or Absence of Calcium Oxide,Industrial & Engineering Chemistry Research,Ind. Eng. Chem. Res.,60,47,16961-16968,2021,10.1021/acs.iecr.1c03537,https://doi.org/10.1021/acs.iecr.1c03537,"Anion exchange resins are being used by the drinking water industry to remove per- and polyfluoroalkyl substances (PFAS) including perfluoroalkyl carboxylic acids (PFCAs) and perfluoroalkyl sulfonic acids (PFSAs) from water, and spent resins are commonly incinerated by the industry. By conducting thermogravimetric analysis (TGA) studies, this investigation is aimed at filling some of the knowledge gaps that currently exists in the incineration of PFAS-laden resins. This work is aimed at understanding the impact of characteristics (i.e., carbon chain length and acid functionality) of nine PFAS compounds, in the presence or absence of a calcium oxide (CaO) additive, on the decomposition and burning characteristics of PFAS-laden resins. The TGA profiles of selected pure PFAS compounds confirmed the near-complete evaporation of these compounds below their boiling points, whereas PFAS-laden resin profiles exhibited the partial holding of PFAS compounds by resin well above their boiling points. Resins laden with PFCAs exhibited TGA profiles similar to those of the blank resins, whereas resins laden with PFSAs showed a drastic weight loss from 400 to 500 °C. These results suggested that decomposition and oxidation reactions were accelerated by sulfonic acid functionalities, and the impact of sulfonic acid groups appears to increase with the increase in the chain length of PFSAs. The presence of the CaO additive resulted in similar TGA profiles for all tested PFCA-laden resins, where all exhibited a relatively flat profile in the∼470–700 °C range as a result of the simultaneous burning of carbon char and the reaction of CO2 with CaO, followed by a rapid weight loss at 700–800 °C from the decomposition of the formed CaCO3 to CaO. The TGA profiles of PFSA-laden resins in the presence of CaO exhibited a similar impact of sulfonic acid functionalities accelerating the decomposition and oxidation of the resin without any clear correlation with the PFSA chain length.","Dastgheib, Seyed A.; Mock, Justin; Ilangovan, Tina; Patterson, Craig",ACS Publications,
http://zotero.org/users/14600920/items/V4C7ZC73,article-journal,Thermal Stability and Decomposition of Perfluoroalkyl Substances on Spent Granular Activated Carbon,Environmental Science & Technology Letters,Environ. Sci. Technol. Lett.,7,5,343-350,2020,10.1021/acs.estlett.0c00114,https://doi.org/10.1021/acs.estlett.0c00114,"The aims of this study were two-fold: (1) to improve our understanding of the thermal stability of per- and polyfluoroalkyl substances and (2) to investigate their decomposition mechanisms on spent granular activated carbon (GAC) during thermal reactivation. We studied seven perfluoroalkyl carboxylic acids (PFCAs), three perfluoroalkyl sulfonic acids (PFSAs), and one perfluoroalkyl ether carboxylic acid (PFECA) in different atmospheres (N2, O2, CO2, and air). The destabilization of studied compounds during thermal treatment followed first-order kinetics. The temperature needed for thermally destabilizing PFCAs increased with the number of perfluorinated carbons (nCF2). Decomposition of PFCAs such as perfluorooctanoic acid (PFOA) on GAC initiated at temperatures as low as 200 °C. The PFECA was even more readily decomposed than PFCA with the same nCF2. PFSAs such as perfluorooctanesulfonic acid (PFOS), on the other hand, required a much higher temperature (≥450 °C) to decompose. Volatile organofluorine species were the main thermal decomposition product of PFOA and PFOS at low to moderate temperatures (≤600 °C). Efficient mineralization to fluoride ions (>80%) of PFOA and PFOS on GAC occurred at 700 °C or higher, accompanied by near complete PFOA and PFOS decomposition (>99.9%). Thermal decomposition pathways of PFOA were proposed.","Xiao, Feng; Sasi, Pavankumar Challa; Yao, Bin; Kubátová, Alena; Golovko, Svetlana A.; Golovko, Mikhail Y.; Soli, Dana",ACS Publications,
http://zotero.org/users/14600920/items/L9ET5V3G,article-journal,Thermal Phase Transition and Rapid Degradation of Forever Chemicals (PFAS) in Spent Media Using Induction Heating,ACS ES&T Engineering,ACS EST Eng.,3,9,1370-1380,2023,10.1021/acsestengg.3c00114,https://doi.org/10.1021/acsestengg.3c00114,"In this study, we have developed an innovative thermal degradation strategy for treating per- and polyfluoroalkyl substance (PFAS)-containing solid materials. Our strategy satisfies three criteria: the ability to achieve near-complete degradation of PFASs within a short timescale, nonselectivity, and low energy cost. In our method, a metallic reactor containing a PFAS-laden sample was subjected to electromagnetic induction that prompted a rapid temperature rise of the reactor via the Joule heating effect. We demonstrated that subjecting PFASs (0.001–12 μmol) to induction heating for a brief duration (e.g., <40 s) resulted in substantial degradation (>90%) of these compounds, including recalcitrant short-chain PFASs and perfluoroalkyl sulfonic acids. This finding prompted us to conduct a detailed study of the thermal phase transitions of PFASs using thermogravimetric analysis and differential scanning calorimetry (DSC). We identified at least two endothermic DSC peaks for anionic, cationic, and zwitterionic PFASs, signifying the melting and evaporation of the melted PFASs. Melting and evaporation points of many PFASs were reported for the first time. Our data suggest that the rate-limiting step in PFAS thermal degradation is linked with phase transitions (e.g., evaporation) occurring on different time scales. When PFASs are rapidly heated to temperatures similar to those produced during induction heating, the evaporation of melted PFAS slows down, allowing for the degradation of the melted PFAS.","Xiao, Feng; Challa Sasi, Pavankumar; Alinezhad, Ali; Sun, Runze; Abdulmalik Ali, Mansurat",ACS Publications,
http://zotero.org/users/14600920/items/GWN5GJ8D,article-journal,The residual effect of sewage sludge biochar on soil availability and bioaccumulation of heavy metals: Evidence from a three-year field experiment,Journal of Environmental Management,Journal of Environmental Management,279,,111824,2021,10.1016/j.jenvman.2020.111824,https://www.sciencedirect.com/science/article/pii/S0301479720317497,"Conversion of sewage sludge (SS) into biochar through pyrolysis is an alternative to make this residue useful for agricultural purposes. Despite advances in interpreting the functions of SS biochar (SSB) for improving soil quality, it is still necessary to understand its residual effect on the dynamics of heavy metals (HM), especially under field conditions in tropical soils. Therefore, the objective of this study was to evaluate the residual effect of the application of SSB obtained at different pyrolysis temperatures on the accumulation, availability and bioaccumulation of HMs by corn cultivated in a tropical soil. For this purpose, a field experiment was conducted for three years to assess the total and available levels of HMs in the soil and the leaf concentration after suspending the application of 30 t ha−1 of SSB produced at 300 °C (BC300) and 500 °C (BC500). In general, the HM contents were below the maximum allowed by environmental legislation in several countries. SSB, regardless of temperature, was effective in immobilizing non-essential HMs for plants, such as Cd, Co, Cr and Pb, in the soil. On the other hand, SSB was able to supply micronutrients to corn plants after amendment ceased. Thus, the lack of negative long-term effects confirms the feasibility and safety of using SSB in agricultural areas with regards to contamination by HM, and makes it an alternative for the disposal of domestic SS.","Chagas, Jhon Kenedy Moura; Figueiredo, Cícero Célio; Silva, Juscimar; Paz-Ferreiro, Jorge",ScienceDirect,
